"","TemperatureAirMin","TemperatureAirMax","TemperatureAirMean","Radiation","PET","Rainfall","ThermalTime","WaterStress","WaterStressConductance","WaterStressRUE","WaterSupplyDemandRatio....WaterDemand.WaterAvailable","ThermalStressRUE....ThermalStressRUE","NitrogenAbsorbed....NitrogenAbsorbed","NitrogenNutritionIndex....NNI","NitrogenStressRUE....NitrogenStressRUE","LAI","RIE","RUE","CropBiomass","CropYield","TerpeneStressRUE","pest_resistance_genetic"
"1",12,18.2,15.1,19.44,4.3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2
"2",12.4,16.1,14.25,10.05,3.6,0,9.45,0.645535472659914,1,0.993826484506961,0,0.62171052631579,0,0,1,0,0,0.593157491279418,0,0,0.96,2
"3",10.9,14.4,12.65,2.09,0.8,19,17.300000000004,0.348734289254735,0.999999999994885,0.915515331567746,0,0.516447368421053,0,0,1,0,0,0.453902864387798,0,0,0.96,2
"4",9.5,16.1,12.8,7.61,1.9,2.5,25.3000006357811,0.236296029746911,0.999999205278656,0.784676225117719,0,0.526315789473684,0,0,1,0,0,0.3964679874279,0,0,0.96,2
"5",4.1,19,11.55,19.72,2.6,0,32.0500503142576,0.181074178891548,0.999926402257003,0.669759553740972,0,0.444078947368421,0,0,1,0,0,0.285529072910625,0,0,0.96,2
"6",10,21.4,15.7,20.91,3.1,0,42.9507914957209,0.137096790409905,0.999320017006145,0.546591851697316,0,0.717105263157895,0,0,1,0,0,0.37628533790531,0,0,0.96,2
"7",8.9,24.7,16.8,20.87,3.9,2.5,54.9555718374156,0.111898114633726,0.99601638192108,0.462702122663517,0,0.789473684210526,0,0,1,0,0,0.35067950349235,0,0,0.96,2
"8",11.9,16.1,14,8.96,2.2,1.5,64.1656130982752,0.0959688223115333,0.989085586022157,0.404870325221517,0,0.605263157894737,0,0,1,0,0,0.235250967918187,0,0,0.96,2
"9",5,20.2,12.6,23.6,3.2,0,71.9816261855172,0.0843159853584963,0.979470400971774,0.360372589767282,0,0.513157894736842,0,0,1,0,0,0.177530917906408,0,0,0.96,2
"10",4.5,25.1,14.8,23.35,3.3,0,82.0140523432477,0.0737567986024587,0.96757384226952,0.318576192420268,0,0.657894736842105,0,0,1,0,0,0.201206016265432,0,0,0.96,2
"11",10.2,22,16.1,18.82,3.3,0,93.3691669229418,0.0648603994147948,0.951226035668978,0.282365160891352,0,0.743421052631579,0,0,1,0,0,0.201519556930881,0,0,0.96,2
"12",11.5,18.2,14.85,14.27,2.7,0,103.487862708558,0.0583474265702365,0.931645984461256,0.255328536943967,0,0.661184210526316,0,0,1,0,0,0.162066429239171,0,0,0.96,2
"13",11.5,20.8,16.15,18.5,3.5,0,114.936687538328,0.0524938924561288,0.912929665400693,0.230682463602652,0,0.746710526315789,0,0,1,0,0,0.165362902856217,0,0,0.96,2
"14",6.1,22.5,14.3,24.41,3.6,0,124.539026395975,0.0481224765352017,0.892274886687714,0.21207978788955,0,0.625,0,0,1,0,0,0.12724787273373,0,0,0.96,2
"15",5.6,23.3,14.45,24.99,3.8,0,134.3104746739,0.0443364085503176,0.874146862253824,0.195842387086472,0,0.634868421052632,0,0,1,0,0,0.119360781182176,0,0,0.96,2
"16",4,24.6,14.3,25.45,4.2,0,143.946901338694,0.041067441304291,0.85639298442735,0.181735419733453,0,0.625,0,0,1,0,0,0.109041251840072,0,0,0.96,2
"17",10.1,23.8,16.95,25.01,5,0,156.291994200994,0.0377250615044355,0.839429742962781,0.167233934134195,0,0.799342105263158,0,0,1,1.6449094858065,0.772457566527529,0.128330039982977,119.002994642148,47.6011978568591,0.96,2
"18",8.4,21.4,14.9,19.7,3.9,0,166.573343033422,0.0339297354211595,0.820446700566532,0.150679418694487,0.0526375291625816,0.664473684210526,0.682704709345625,0.136242034485335,0.136242034485335,2.90762814033186,0.926968565892052,0.0130952584822639,130.481531839582,52.1926127358327,0.96,2
"19",10.6,18.2,14.4,20.43,4,1,176.36839838649,0.0308566227223784,0.796817340554159,0.137212415832321,0.0673161435572681,0.631578947368421,1.49557907309245,0.282938945494684,0.153782450848703,4.01829007379194,0.973122373482145,0.0127937855556777,142.690420374167,57.076168149667,0.96,2
"20",8.9,10.3,9.6,2.32,0.7,12,181.275898028609,0.0345969108646593,0.776042412253278,0.153595921941624,0.0106393699560719,0.315789473684211,1.61303869304296,0.289732750380712,0.0210980052082537,4.64325596787017,0.984685119952518,0.000982403639572823,142.798145388406,57.1192581553623,0.96,2
"21",8.2,18.7,13.45,18.49,2.9,5,190.097918001673,0.0329618846835994,0.801132979116228,0.146443884231744,0.0446011221844952,0.569078947368421,2.10409233398883,0.37777003221155,0.0881640728218654,5.7224087940801,0.994201568996547,0.00705353192953991,149.021996994849,59.6087987979395,0.96,2
"22",11.7,16.8,14.25,7.74,1.7,2.5,199.745958424333,0.0313901702558219,0.790433415175086,0.139554316950033,0.0263981673923332,0.62171052631579,2.37828537763562,0.416562857601243,0.0480256233629291,6.84435061722568,0.997887568352571,0.00400014505008309,150.504991527596,60.2019966110384,0.96,2
"23",6.2,22.8,14.5,22.42,3.6,0,209.659596090598,0.0286268605898448,0.779754983231112,0.127408995241534,0.0586783691820935,0.638157894736842,2.96898571756128,0.517047428207594,0.102870178793175,7.88645106695046,0.999173082776336,0.00802950854952297,159.138882026818,63.6555528107271,0.96,2
"24",11.6,21.3,16.45,13.05,2.9,6,221.589139294298,0.0284410267759601,0.760048752189459,0.126590801930702,0.0452626675549926,0.766447368421053,3.39503694895738,0.572421645218362,0.0718345486336932,9.10452009770752,0.999723712367437,0.00669097009409536,163.328947710495,65.3315790841978,0.96,2
